,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
82,North,55 – 64,Male,5.0,4.0,5.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
83,West,45 – 54,Male,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,Tram,0.0
84,South,16 – 24,Male,4.0,5.0,4.0,Car,Bus,None,Car,Bus,Walk,2.0
85,East,55 – 64,Female,4.0,5.0,5.0,Walk,Bus,Tram,Bus,Taxi/Private hire car,Walk,1.0
86,North,45 – 54,Female,5.0,5.0,4.0,Cycle,Walk,Bus,Bus,Cycle,Walk,0.0
87,North,55 – 64,Female,2.0,2.0,2.0,Car,Walk,None,Car,Walk,Bus,2.0
88,East,45 – 54,Female,1.0,1.0,1.0,Car,Walk,None,Car,Walk,None,1.0
89,North,65 – 74,Male,5.0,5.0,5.0,Walk,Cycle,Car,Bus,Car,Walk,2.0
90,West,45 – 54,Male,4.0,4.0,3.0,Walk,Bus,None,Bus,Walk,Tram,0.0
91,Central,45 – 54,Female,3.0,4.0,4.0,Walk,None,,Walk,Bus,None,0.0
92,North,16 – 24,Female,4.0,1.0,4.0,Bus,Tram,Walk,Car,Bus,Tram,2.0
93,East,35 – 44,Female,4.0,4.0,4.0,Walk,Car,Bus,Bus,Car,Walk,1.0
94,East,35 – 44,Male,5.0,5.0,5.0,Car,Walk,Bus,Car,Bus,Taxi/Private hire car,2.0
95,East,55 – 64,Female,3.0,4.0,1.0,Walk,Taxi/Private hire car,None,Bus,Walk,Tram,0.0
96,West,55 – 64,Male,2.0,2.0,2.0,Car,Walk,None,Bus,Car,Taxi/Private hire car,1.0
97,West,16 – 24,Female,5.0,5.0,5.0,Car,Walk,Taxi/Private hire car,Bus,Tram,Walk,0.0
98,South,35 – 44,Female,5.0,5.0,5.0,Bus,Car,Cycle,Bus,Car,Cycle,1.0
